title,author,isbn,call_number,call_prefix,subjects,summary,series,reading_level
Never fall down  a novel,"McCormick, Patricia 1956-",0061730947,F McC,FIC,Soldiers -- Fiction. | Genocide -- Fiction. | Historical fiction,"When soldiers arrive in his hometown in Cambodia, Arn Chorn Pond is separated from his family and sent to a labor camp, where he works in the rice paddies until he volunteers to learn to play an instrument--a decision that both saves his life and lands him in battle.",,Young Adult
The nightmare garden,"Kittredge, Caitlin",0385738315,F Kit,FIC,Magic -- Fiction. | Fantasy fiction,"Aoife, a changeling--half human and half from the land of Thorn--released monsters from Thorn into the Iron Lands when she destroyed the Lovecraft engine and must find away to reverse the damage.",,Young Adult
One year in Coal Harbor,"Horvath, Polly",9780375869709,F Hor,FIC,Eccentrics and eccentricities -- Fiction. | Interpersonal relations -- Fiction. | Foster home care -- Fiction. | Family life -- Fiction. | Self-reliance -- Fiction.,"In a small fishing village in British Columbia, twelve-year-old Primrose tries to be a matchmaker for her Uncle Jack, befriends Ked, a new foster child, tries to decide if she is willing to go to jail for her convictions, and together with Ked, publishes a cook book to raise money for the Fisherman's Aid. Includes recipes.",,5.0.
Rush for the gold  mystery at the Olympics,"Feinstein, John",0375969632,F Fei,FIC,"Swimming -- Fiction | Dating (Social customs) -- Fiction. | Journalists -- Fiction. | Olympic games, 2012 (London, England) -- Fiction. | Mystery fiction","Two teenaged aspiring journalists who are dating solve a mystery at the 2012 Olympic Games, while one simultaneously competes for a gold medal in swimming.",,6.7.
Second chance summer,"Matson, Morgan",1416990674,F Mat,FIC,Interpersonal relations -- Fiction. | Family life -- Fiction. -- Pennsylvania | Terminally ill -- Fiction. | Love stories,"After Taylor Edwards' family gets devastating news, they decide to spend one last summer all together at their lake house in the Pocono Mountains, they get to know each other again and bond, and Taylor remembers her past friends and crush.",,Young Adult
The secret keepers,"Yee, Paul",1896580963,F Yee,FIC,Ghost stories | Chinese Americans -- Fiction.,"Following the San Francisco earthquake of 1906, fifteen-year-old Jackson Leong, who has the ability to see ghosts, finds himself haunted by his brother who died during the earthquake and a mysterious young woman.",,Young Adult
Shadow and bone,"Bardugo, Leigh",0805094598,F Bar,FIC,Magic -- Fiction. | Ability -- Fiction. | Monsters -- Fiction. | Orphans -- Fiction. | Fantasy fiction,"Orphaned by the Border Wars, Alina Starkov is taken from obscurity and her only friend, Mal, to become the protegé of the mysterious Darkling, who trains her to join the magical elite in the belief that she is the Sun Summoner, who can destroy the monsters of the Fold.",,Young Adult
Son,"Lowry, Lois",0547887205,F Low,FIC,Mother-child relationship -- Fiction. | Psychology -- Fiction. | Science fiction,"Unlike the other Birthmothers in her utopian community, teenaged Claire forms an attachment to her baby, feeling a great loss when he is taken to the Nurturing Center to be adopted by a family unit.",,Young Adult
Splendors and glooms,"Schlitz, Laura Amy",9780763653804,F Sch,FIC,Puppets and puppet plays -- Fiction. | Orphans -- Fiction. | Kidnapping -- Fiction. | Witches -- Fiction. | Magic -- Fiction.,"When Clara vanishes after the puppeteer Grisini and two orphaned assistants were at her twelfth birthday party, suspicion of kidnapping chases the trio away from London and soon the two orphans are caught in a trap set by Grisini's ancient rival, a witch with a deadly inheritance to shed before it is too late.",,5.1
Starry River of the Sky,"Lin, Grace",0316125954,F Lin,FIC,Fairy tales | Storytelling -- Fiction.,An innkeeper's chore boy discovers that a visitor's stories hold the key to returning the moon to the Starry River of the Sky.,,5.8.
Tiger Lily,"Anderson, Jodi Lynn",0062003259,F And,FIC,Fairies -- Fiction. | Magic -- Fiction. | Love stories | Fantasy fiction,"Fifteen-year-old Tiger Lily receives special protections from the spiritual forces of Neverland, but then she meets her tribe's most dangerous enemy--Peter Pan--and falls in love with him.",,Young Adult
Whirligig,"Fleischman, Paul",0805055827 (alk. papr),F FLE,FIC,Toys -- Fiction. | Voyages and travels -- Fiction. | Forgiveness -- Fiction.,"While traveling to each corner of the country to build a whirligig in memory of the girl whose death he causes, sixteen-year-old Brian finds forgiveness and atonement.",,Young Adult
Two crafty criminals!  and how they were captured by the daring detectives of the New Cut Gang,"Pullman, Philip 1946-",0375970290,F Pul,FIC,Mystery fiction | Gangs -- Fiction. | Adventure fiction | Mystery fiction | Humorous fiction | Historical fiction,Eleven-year-old Benny Kaminsky leads a rag-tag gang of neighborhood children as they use improbable disguises and crazy ruses while investigating such crimes as counterfeiting and stolen silver in 1894 London.,,6.5.
Waiting,"Williams, Carol Lynch",1442443537,F Wil,FIC,Grief -- Fiction. | Family life -- Fiction. | Siblings -- Fiction.,"As the tragic death of her older brother devastates the family, teenaged London struggles to find redemption and finds herself torn between her brother's best friend and a handsome new boy in town.",,Young Adult
The Last Dragonslayer,"Fforde, Jasper",9780547738475,F Ffo,FIC,Magic -- Fiction. | Dragons -- Fiction.,"""Fifteen-year-old Jennifer Strange runs an agency for underemployed magicians in a world where magic is fading away, but when visions of the death of the world's last dragon begin, all signs point to Jennifer--and Big Magic""--",The chronicles of Kazam,Young Adult
The Raven Boys,"Stiefvater, Maggie 1981-",9780545424929,F Sti,FIC,Occult fiction | Clairvoyance -- Fiction. | Magic -- Fiction.,"Though she is from a family of clairvoyants, Blue Sargent's only gift seems to be that she makes other people's talents stronger, and when she meets Gansey, one of the Raven Boys from the expensive Aglionby Academy, she discovers that he has talents of his own--and that together their talents are a dangerous mix.",,Young Adult
Game changers,"Lupica, Mike",0545381827,F Lup,FIC,Football -- Fiction | Friendship -- Fiction. | Father-son relationship -- Fiction. | Coaching (Athletics) -- Fiction.,"When the coach's son, Shawn O'Brien, is chosen to play quarterback, eleven-year-old Ben McBain is not surprised--but when he tries to be a good teammate and help the inconsistent Shawn, he is startled to learn that his new friend does not really want the position.",,5.0
Almost home,"Bauer, Joan 1951-",9780670012893,F Bau,FIC,Homeless persons -- Fiction. | Mother-daughter relationship -- Fiction.,Sixth-grader Sugar and her mother lose their beloved house and experience the harsh world of homelessness.,,4.5
Eighth grade is making me sick  Ginny Davis's year in stuff,"Holm, Jennifer L.",9780375899201,F Hol,FIC,Family life -- Fiction. | School stories | Middle schools -- Fiction.,"Eighth grade turns out to be an eventful year for Ginny and her family, as notes, lists, report cards, doctor bills, and other ""stuff"" reveal that the family moves to a big new house, Brian starts to be more than just a friend, Ginny's mother has a baby, and her stepfather loses his job.",,660
The drowned vault,"Wilson, Nathan D.",9780375864407,F Wil,FIC,Secret societies -- Fiction. | Occult fiction | Siblings -- Fiction. | Apprentices -- Fiction. | Magic -- Fiction.,Cyrus and Antigone must track down Phoenix and the Dragon's Tooth while facing a threat from the transmortals.,Ashtown burials,690
Mr. Terupt falls again,"Buyea, Rob",9780385742054,F Buy,FIC,Moving -- Fiction | Teacher-student relationship -- Fiction. | Summer -- Fiction. | School buildings -- Fiction.,Several students relate their experiences helping Mr. Terupt move the old classroom to the sixth grade annex during the summer vacation.,,4.0
Diary of a wimpy kid  the third wheel,"Kinney, Jeff",9781419705847,F Kin,FIC,Middle schools -- Fiction. | School stories | Valentine's Day -- Fiction. | Diaries -- Fiction. | Dance -- Fiction. | Humorous fiction,"As the day of the Valentine's Day dance approaches, Greg Heffley worries he will be left out until a twist of fate lands Greg with a date, but leaves his best friend, Rowley, on his own.",Diary of a wimpy kid,5.0
Unstoppable,"Green, Tim",9780062089564,F Gre,FIC,Foster children -- Fiction | Cancer -- Fiction. | Father-son relationship -- Fiction. | Football -- Fiction,"Foster child Harrison, who dreams of playing in the NFL, is happy when he is put into a home with loving parents and a foster father who is a football coach, but, after becoming the star running back and suffering an injury, a cancer diagnosis threatens to ruin his future.",,4.4
True legend,"Lupica, Mike",0399252274,F Lup,FIC,Basketball -- Fiction | Sports -- Fiction | Conduct of life -- Fiction | High schools -- Fiction | School stories | African Americans -- Fiction.,"Fifteen-year-old Drew ""True"" Robinson loves being the best point-guard prospect in high school basketball, but learns the consequences of fame through a former player, as well as through the man who expects to be his manager when True reaches the NBA.",,4.5.
In a glass Grimmly,"Gidwitz, Adam",9780142425060 (pbk),F,FIC,Fairy tales | Frogs -- Fiction | Cousins -- Fiction. | Adventure fiction | Humorous fiction,Companion to: A tale dark & Grimm.,,4.8
Don't turn around,"Gagnon, Michelle 1971-",9780062102904,F Gag,FIC,Computer hackers -- Fiction. | Experiments -- Fiction. | Foster home care -- Fiction. | Abandoned children -- Fiction.,"After waking up on an operating table with no memory of how she got there, Noa must team up with computer hacker Peter to stop a corrupt corporation with a deadly secret.",,Young Adult
Who could that be at this hour?,"Snicket, Lemony",9780316123082,F Sni,FIC,Apprentices -- Fiction. | Sculpture -- Fiction. | Theft -- Fiction. | Mystery fiction | Humorous fiction,"Thirteen-year-old Lemony Snicket begins his apprenticeship with S. Theodora Markson of the secretive V.F.D. in the tiny dot of a town called Stain'd By The Sea, where he helps investigate the theft of a statue.",All the wrong questions,5.6
Reached,"Condie, Allyson Braithwaite",9780525423669,F Con,FIC,Resistance to government -- Fiction. | Fantasy fiction,"Although Cassia and Ky long to be with each other, their decision to leave Society in search of the Rising leaves Cassia working for the Rising from within Society and Ky stationed outside its borders, but things do not play out as expected.",,Young Adult
Shadow on the mountain  a novel inspired by the true adventures of a wartime spy,"Preus, Margi",9781419704246 (alk. paper),F Pre,FIC,"World War, 1939-1945 -- Fiction. -- Underground movements -- Norway | Spy stories","In Nazi-occupied Norway, fourteen-year-old Espen joins the resistance movement, graduating from deliverer of illegal newspapers to courier and spy.",,6.5
Ungifted,"Korman, Gordon",9780061742668,F,FIC,Humorous fiction | Robots -- History. | Robots -- Fiction. | Gifted children -- Fiction. | School stories | Middle schools -- Fiction. | Human behavior -- Fiction.,"Due to an administrative mix-up, troublemaker Donovan Curtis is sent to the Academy of Scholastic Distinction, a special program for gifted and talented students, after pulling a major prank at middle school.",,730
